CityID;CityName;StateProvinceID;LatestRecordedPopulation;LastEditedBy;ValidFrom;ValidTo
68;Acme;53;;1;2013-01-01 00:00:00.0000000;9999-12-31 23:59:59.9999999
69;Acme;19;;1;2013-01-01 00:00:00.0000000;9999-12-31 23:59:59.9999999
70;Acme;32;;1;2013-01-01 00:00:00.0000000;9999-12-31 23:59:59.9999999
71;Acoma;29;;1;2013-01-01 00:00:00.0000000;9999-12-31 23:59:59.9999999
72;Acomita;32;;1;2013-01-01 00:00:00.0000000;9999-12-31 23:59:59.9999999
73;Acorn;49;;1;2013-01-01 00:00:00.0000000;9999-12-31 23:59:59.9999999
74;Acra;33;;1;2013-01-01 00:00:00.0000000;9999-12-31 23:59:59.9999999
75;Acree;11;;1;2013-01-01 00:00:00.0000000;9999-12-31 23:59:59.9999999
76;Acton;20;;1;2013-01-01 00:00:00.0000000;9999-12-31 23:59:59.9999999
77;Acton;27;;1;2013-01-01 00:00:00.0000000;9999-12-31 23:59:59.9999999
78;Acton;22;;1;2013-01-01 00:00:00.0000000;9999-12-31 23:59:59.9999999
79;Acton;5;7596;1;2013-01-01 00:00:00.0000000;9999-12-31 23:59:59.9999999
80;Acushnet;22;3073;1;2013-01-01 00:00:00.0000000;9999-12-31 23:59:59.9999999
81;Acworth;30;;1;2013-01-01 00:00:00.0000000;9999-12-31 23:59:59.9999999
82;Acworth;11;20425;1;2013-01-01 00:00:00.0000000;9999-12-31 23:59:59.9999999
83;Acy;19;;1;2013-01-01 00:00:00.0000000;9999-12-31 23:59:59.9999999
84;Ada;19;;1;2013-01-01 00:00:00.0000000;9999-12-31 23:59:59.9999999
85;Ada;52;;1;2013-01-01 00:00:00.0000000;9999-12-31 23:59:59.9999999
86;Ada;17;100;1;2013-01-01 00:00:00.0000000;9999-12-31 23:59:59.9999999
87;Ada;36;5952;1;2013-01-01 00:00:00.0000000;9999-12-31 23:59:59.9999999
88;Ada;37;16810;1;2013-01-01 00:00:00.0000000;9999-12-31 23:59:59.9999999
89;Ada;24;1707;1;2013-01-01 00:00:00.0000000;9999-12-31 23:59:59.9999999
90;Adair;16;781;1;2013-01-01 00:00:00.0000000;9999-12-31 23:59:59.9999999
91;Adair;14;210;1;2013-01-01 00:00:00.0000000;9999-12-31 23:59:59.9999999
92;Adair;37;790;1;2013-01-01 00:00:00.0000000;9999-12-31 23:59:59.9999999
93;Adair Village;38;840;1;2013-01-01 00:00:00.0000000;9999-12-31 23:59:59.9999999
94;Adairsville;11;4648;1;2013-01-01 00:00:00.0000000;9999-12-31 23:59:59.9999999
95;Adairville;18;852;1;2013-01-01 00:00:00.0000000;9999-12-31 23:59:59.9999999
96;Adak;2;326;1;2013-01-01 00:00:00.0000000;9999-12-31 23:59:59.9999999
97;Adams;37;;1;2013-01-01 00:00:00.0000000;9999-12-31 23:59:59.9999999
98;Adams;15;;1;2013-01-01 00:00:00.0000000;9999-12-31 23:59:59.9999999
99;Adams;18;;1;2013-01-01 00:00:00.0000000;9999-12-31 23:59:59.9999999
100;Adams;25;;1;2013-01-01 00:00:00.0000000;9999-12-31 23:59:59.9999999
101;Adams;44;633;1;2013-01-01 00:00:00.0000000;9999-12-31 23:59:59.9999999
102;Adams;28;573;1;2013-01-01 00:00:00.0000000;9999-12-31 23:59:59.9999999
103;Adams;38;350;1;2013-01-01 00:00:00.0000000;9999-12-31 23:59:59.9999999
104;Adams;24;787;1;2013-01-01 00:00:00.0000000;9999-12-31 23:59:59.9999999
105;Adams;33;1775;1;2013-01-01 00:00:00.0000000;9999-12-31 23:59:59.9999999
106;Adams;22;5515;1;2013-01-01 00:00:00.0000000;9999-12-31 23:59:59.9999999
107;Adams;35;127;1;2013-01-01 00:00:00.0000000;9999-12-31 23:59:59.9999999
108;Adams;52;1967;1;2013-01-01 00:00:00.0000000;9999-12-31 23:59:59.9999999
109;Adams Center;33;1568;1;2013-01-01 00:00:00.0000000;9999-12-31 23:59:59.9999999
110;Adams City;6;;1;2013-01-01 00:00:00.0000000;9999-12-31 23:59:59.9999999
111;Adamsburg;39;172;1;2013-01-01 00:00:00.0000000;9999-12-31 23:59:59.9999999
112;Adamstown;39;1789;1;2013-01-01 00:00:00.0000000;9999-12-31 23:59:59.9999999
113;Adamstown;21;2372;1;2013-01-01 00:00:00.0000000;9999-12-31 23:59:59.9999999
114;Adamsville;46;;1;2013-01-01 00:00:00.0000000;9999-12-31 23:59:59.9999999
115;Adamsville;45;;1;2013-01-01 00:00:00.0000000;9999-12-31 23:59:59.9999999
116;Adamsville;39;67;1;2013-01-01 00:00:00.0000000;9999-12-31 23:59:59.9999999
117;Adamsville;44;2207;1;2013-01-01 00:00:00.0000000;9999-12-31 23:59:59.9999999
118;Adamsville;36;114;1;2013-01-01 00:00:00.0000000;9999-12-31 23:59:59.9999999
119;Adamsville;1;4522;1;2013-01-01 00:00:00.0000000;9999-12-31 23:59:59.9999999
120;Adario;36;;1;2013-01-01 00:00:00.0000000;9999-12-31 23:59:59.9999999
121;Addicks;45;;1;2013-01-01 00:00:00.0000000;9999-12-31 23:59:59.9999999
122;Addie;34;;1;2013-01-01 00:00:00.0000000;9999-12-31 23:59:59.9999999
123;Addieville;14;252;1;2013-01-01 00:00:00.0000000;9999-12-31 23:59:59.9999999
124;Addington;37;114;1;2013-01-01 00:00:00.0000000;9999-12-31 23:59:59.9999999
125;Addis;19;3593;1;2013-01-01 00:00:00.0000000;9999-12-31 23:59:59.9999999
126;Addison;1;758;1;2013-01-01 00:00:00.0000000;9999-12-31 23:59:59.9999999
127;Addison;23;605;1;2013-01-01 00:00:00.0000000;9999-12-31 23:59:59.9999999
128;Addison;14;36942;1;2013-01-01 00:00:00.0000000;9999-12-31 23:59:59.9999999
129;Addison;33;1763;1;2013-01-01 00:00:00.0000000;9999-12-31 23:59:59.9999999
130;Addison;39;207;1;2013-01-01 00:00:00.0000000;9999-12-31 23:59:59.9999999
131;Addison;51;776;1;2013-01-01 00:00:00.0000000;9999-12-31 23:59:59.9999999
132;Addison;45;13056;1;2013-01-01 00:00:00.0000000;9999-12-31 23:59:59.9999999
133;Addison;20;605;1;2013-01-01 00:00:00.0000000;9999-12-31 23:59:59.9999999
134;Addison;36;;1;2013-01-01 00:00:00.0000000;9999-12-31 23:59:59.9999999
135;Addison;47;;1;2013-01-01 00:00:00.0000000;9999-12-31 23:59:59.9999999
136;Addison;52;;1;2013-01-01 00:00:00.0000000;9999-12-31 23:59:59.9999999
137;Addy;50;268;1;2013-01-01 00:00:00.0000000;9999-12-31 23:59:59.9999999
138;Addyston;36;938;1;2013-01-01 00:00:00.0000000;9999-12-31 23:59:59.9999999
139;Adel;11;5334;1;2013-01-01 00:00:00.0000000;9999-12-31 23:59:59.9999999
140;Adel;16;3682;1;2013-01-01 00:00:00.0000000;9999-12-31 23:59:59.9999999
141;Adel;38;;1;2013-01-01 00:00:00.0000000;9999-12-31 23:59:59.9999999
142;Adel;27;;1;2013-01-01 00:00:00.0000000;9999-12-31 23:59:59.9999999
143;Adelaide;50;;1;2013-01-01 00:00:00.0000000;9999-12-31 23:59:59.9999999
144;Adelanto;5;31765;1;2013-01-01 00:00:00.0000000;9999-12-31 23:59:59.9999999
145;Adeline;14;85;1;2013-01-01 00:00:00.0000000;9999-12-31 23:59:59.9999999
146;Adelino;32;823;1;2013-01-01 00:00:00.0000000;9999-12-31 23:59:59.9999999
147;Adell;52;516;1;2013-01-01 00:00:00.0000000;9999-12-31 23:59:59.9999999
148;Adelphi;21;15086;1;2013-01-01 00:00:00.0000000;9999-12-31 23:59:59.9999999
149;Adelphi;36;380;1;2013-01-01 00:00:00.0000000;9999-12-31 23:59:59.9999999
150;Adelphia;31;;1;2013-01-01 00:00:00.0000000;9999-12-31 23:59:59.9999999
151;Aden;32;;1;2013-01-01 00:00:00.0000000;9999-12-31 23:59:59.9999999
